tweet_id,favorite_count,retweet_count
666020888022790149,2498,493
666029285002620928,124,46
666033412701032449,120,43
666044226329800704,288,135
666049248165822465,104,41
666050758794694657,129,56
666051853826850816,1185,824
666055525042405380,421,232
666057090499244032,283,136
666058600524156928,108,57
666063827256086533,458,211
666071193221509120,139,57
666073100786774016,312,157
666082916733198337,111,43
666094000022159362,158,70
666099513787052032,149,64
666102155909144576,76,11
666104133288665088,13885,6296
666268910803644416,99,34
666273097616637952,167,75
666287406224695296,141,63
666293911632134144,484,342
666337882303524864,191,88
666345417576210432,283,131
666353288456101888,211,71
666362758909284353,752,553
666373753744588802,180,87
666396247373291520,161,81
666407126856765440,103,37
666411507551481857,428,320
666418789513326592,119,45
666421158376562688,309,112
666428276349472768,161,81
666430724426358785,307,193
666435652385423360,161,52
666437273139982337,120,47
666447344410484738,99,19
666454714377183233,507,207
666644823164719104,228,78
666649482315059201,1099,610
666691418707132416,185,46
666701168228331520,423,214
666739327293083650,231,65
666776908487630848,342,171
666781792255496192,378,186
666786068205871104,743,482
666804364988780544,233,91
666817836334096384,506,246
666826780179869698,248,95
666835007768551424,209,79
666837028449972224,802,549
666983947667116034,2517,972
666996132027977728,241,93
667012601033924608,441,220
667044094246576128,182,50
667062181243039745,214,53
667065535570550784,163,46
667070482143944705,82,14
667073648344346624,397,122
667090893657276420,329,125
667119796878725120,325,127
667138269671505920,4548,2190
667152164079423490,47136,16898
667160273090932737,254,61
667165590075940865,2656,1127
667171260800061440,219,88
667174963120574464,238,82
667176164155375616,606,463
667177989038297088,189,55
667182792070062081,14190,6153
667188689915760640,735,414
667192066997374976,381,105
667200525029539841,604,260
667211855547486208,485,241
667369227918143488,360,162
667393430834667520,190,54
667405339315146752,460,220
667435689202614272,303,83
667437278097252352,445,235
667443425659232256,773,574
667453023279554560,306,88
667455448082227200,189,59
667470559035432960,251,99
667491009379606528,527,223
667495797102141441,513,268
667502640335572993,529,218
667509364010450944,6720,2120
667517642048163840,367,191
667524857454854144,1677,1102
667530908589760512,460,237
667534815156183040,810,536
667538891197542400,203,65
667544320556335104,856,526
667546741521195010,333,124
667549055577362432,5750,2284
667550882905632768,0,33
667550904950915073,0,35
667724302356258817,478,317
667728196545200128,377,151
667766675769573376,440,215
667773195014021121,235,57
667782464991965184,406,245
667793409583771648,694,332
667801013445750784,327,97
667806454573760512,1050,495
667832474953625600,290,62
667861340749471744,237,78
667866724293877760,2987,1029
667873844930215936,622,406
667878741721415682,389,119
667885044254572545,807,485
667886921285246976,1876,1091
667902449697558528,845,375
667911425562669056,491,307
667915453470232577,209,55
667924896115245057,299,113
667937095915278337,1254,789
668113020489474048,664,242
668142349051129856,567,283
668154635664932864,491,319
668171859951755264,488,195
668190681446379520,654,197
668204964695683073,553,197
668221241640230912,509,198
668226093875376128,298,104
668237644992782336,6177,2861
668248472370458624,977,493
668256321989451776,1303,619
668268907921326080,553,237
668274247790391296,819,232
668286279830867968,503,137
668291999406125056,242,31
668297328638447616,616,298
668466899341221888,878,523
668480044826800133,456,149
668484198282485761,423,238
668496999348633600,411,133
668507509523615744,322,107
668528771708952576,458,229
668537837512433665,251,77
668542336805281792,454,219
668544745690562560,513,225
668567822092664832,242,55
668587383441514497,1667,1083
668614819948453888,612,316
668620235289837568,200,43
668623201287675904,1420,776
668625577880875008,385,137
668627278264475648,316,116
668631377374486528,712,321
668633411083464705,2801,1659
668636665813057536,1038,496
668641109086707712,1076,543
668643542311546881,875,534
668645506898350081,884,536
668655139528511488,530,221
668779399630725120,704,375
668815180734689280,576,272
668826086256599040,431,139
668852170888998912,453,168
668872652652679168,524,303
668892474547511297,396,153
668902994700836864,318,102
668932921458302977,265,59
668955713004314625,280,72
668960084974809088,703,240
668967877119254528,146,23
668975677807423489,1302,584
668979806671884288,797,354
668981893510119424,535,307
668986018524233728,551,171
668988183816871936,893,476
668989615043424256,677,332
668992363537309700,744,350
668994913074286592,439,232
669000397445533696,20847,6410
669006782128353280,576,251
669015743032369152,739,376
669037058363662336,654,316
669203728096960512,1000,483
669214165781868544,437,167
669216679721873412,1189,406
669324657376567296,497,210
669327207240699904,575,116
669328503091937280,1017,422
669351434509529089,438,187
669353438988365824,641,264
669354382627049472,2695,1288
669359674819481600,369,124
669363888236994561,615,227
669367896104181761,459,158
669371483794317312,497,182
669375718304980992,1327,734
669393256313184256,367,77
669564461267722241,383,124
669567591774625800,233,55
669571471778410496,1584,1026
669573570759163904,433,141
669583744538451968,1489,932
669597912108789760,513,151
669603084620980224,941,366
669625907762618368,3515,1830
669661792646373376,799,441
669680153564442624,661,294
669682095984410625,348,136
669683899023405056,387,112
669684865554620416,513,90
669749430875258880,265,65
669753178989142016,809,405
669923323644657664,233,57
669926384437997569,370,105
669942763794931712,501,166
669970042633789440,302,62
669972011175813120,447,159
669993076832759809,326,86
670003130994700288,333,93
670037189829525505,586,278
670040295598354432,753,113
670046952931721218,642,178
670055038660800512,669,335
670061506722140161,763,346
670069087419133954,625,243
670073503555706880,1577,798
670079681849372674,2218,1242
670086499208155136,697,254
670093938074779648,1019,335
670290420111441920,701,289
670303360680108032,427,137
670319130621435904,3858,1232
670338931251150849,421,112
670361874861563904,328,69
670374371102445568,747,273
670385711116361728,555,208
670403879788544000,432,157
670408998013820928,556,228
670411370698022913,2015,906
670417414769758208,567,318
670420569653809152,627,318
670421925039075328,1302,636
670427002554466305,522,166
670428280563085312,1374,631
670433248821026816,328,114
670434127938719744,1397,653
670435821946826752,1050,519
670442337873600512,642,201
670444955656130560,6713,1997
670449342516494336,1191,668
670452855871037440,546,205
670465786746662913,973,555
670468609693655041,353,86
670474236058800128,1513,757
670668383499735048,10687,5075
670676092097810432,245,43
670679630144274432,747,283
670691627984359425,589,247
670704688707301377,770,374
670717338665226240,1202,500
670727704916926465,822,364
670733412878163972,957,518
670755717859713024,438,111
670764103623966721,1070,422
670778058496974848,325,74
670780561024270336,785,290
670782429121134593,1554,777
670783437142401025,817,397
670786190031921152,602,200
670789397210615808,657,244
670792680469889025,826,281
670797304698376195,735,240
670803562457407488,342,87
670804601705242624,1954,969
670807719151067136,1153,498
670811965569282048,1121,274
670815497391357952,3168,1549
670822709593571328,612,96
670823764196741120,773,195
670826280409919488,5533,4084
670832455012716544,730,219
670833812859932673,442,125
670838202509447168,1104,700
670840546554966016,588,194
670842764863651840,24548,8787
670995969505435648,1102,296
671109016219725825,1141,443
671115716440031232,1365,782
671122204919246848,3485,2540
671134062904504320,748,198
